"","File","Words","Contour"
"1","CHO-P1-target1.wav","ananyaa <p> kheDvaanu kaam karti hase ","L-H% 0 0 LH L-H% "
"2","CHO-P1-target10.wav","laavanya aaraam karti hase ","LH LH LH L-H% "
"3","CHO-P1-target11.wav","ananyaa kasrat karti hase ","LH LH LH L-H% "
"4","CHO-P1-target12.wav","laavanya kheDvaanu kaam  karti hase ","LH LH LH LH L-H%"
"5","CHO-P1-target13.wav","ananyaa aaraam karti hase ","LH LH LH L-H% "
"6","CHO-P1-target14.wav","ananyaa <p> kasrat karti hase ","L-H% LH LH L-H% "
"7","CHO-P1-target15.wav","laavanya kheDvaanu kaam karti hase ","LH LH LH LH L-L%"
"8","CHO-P1-target16.wav","laavanya nedvaanu kaam karti hase ","LH LH 0 LH L-H% "
"9","CHO-P1-target2.wav","laavanya kasrat <p> karti hase ","LH L-H% LH H-L% "
"10","CHO-P1-target3.wav","ananyaa nedvaanu kaam karti hase ","LH LH LH LH L-L% "
"11","CHO-P1-target4.wav","disfluent ",""
"12","CHO-P1-target5.wav","laavanya kasrat karti hase ","LH LH LH H-L% "
"13","CHO-P1-target6.wav","ananyaa nedvaanu kaam karti hase ","LH LH LH LH L-H% "
"14","CHO-P1-target7.wav","laavanya aaraam karti hase ","LH LH LH L-H% "
"15","CHO-P1-target8.wav","ananyaa kheDvaanu kaam karti hase ","LH LH LH LH H-L%"
"16","CHO-P1-target9.wav","laavanya nedvaanu kaam karti hase ","LH LH LH LH L-H% "
"17","CHO-P10-target1.wav","ananyaa kheDvaanu kaam karti hase ","LH LH LH LH L-H% "
"18","CHO-P10-target10.wav","laavanya aaraam karti hase ","LH LH LH H-L% "
"19","CHO-P10-target11.wav","ananyaa kasrat karti hase ","LH LH LH L-H% "
"20","CHO-P10-target12.wav","laavanya kheDvaanu kaam karti hase ","LH LH 0 LH L-H% "
"21","CHO-P10-target13.wav","ananyaa aaraam karti hase ","LH LH LH L-H% "
"22","CHO-P10-target14.wav","ananyaa kasrat karti hase ","LH LH LH L-H% "
"23","CHO-P10-target15.wav","laavanya kheDvaanu kaam karti hase ","LH LH 0 0 L-H% "
"24","CHO-P10-target16.wav","laavanya nedvaanu kaam karti hase ","LH LH LH 0 L-H% "
"25","CHO-P10-target2.wav","laavanya kasrat karti hase ","LH LH LH L-L% "
"26","CHO-P10-target3.wav","ananyaa nedvaanu kaam karti hase ","LH LH LH LH L-H%"
"27","CHO-P10-target4.wav","ananyaa aaraam karti hase ","LH LH LH L-H% "
"28","CHO-P10-target5.wav","laavanya kasrat karti hase ","LH LH LH L-H% "
"29","CHO-P10-target6.wav","ananyaa nedvaanu kaam karti hase ","LH LH LH LH L-H% "
"30","CHO-P10-target7.wav","laavanya aaraam karti hase ","LH LH LH L-H% "
"31","CHO-P10-target8.wav","ananyaa kheDvaanu kaam karti hase ","LH LH LH LH L-H%"
"32","CHO-P10-target9.wav","laavanya nedvaanu kaam karti hase ","LH LH 0 LH L-L% "
"33","CHO-P11-target1.wav","ananyaa kheDvaanu kaam karti hase ","LH LH 0 0 L-L% "
"34","CHO-P11-target10.wav","laavanya aaraam karti hase ","LH LH LH L-L% "
"35","CHO-P11-target11.wav","ananyaa kasrat karti hase ","LH LH LH L-L% "
"36","CHO-P11-target12.wav","laavanya kheDvaanu kaam karti hase ","LH LH 0 LH L-H% "
"37","CHO-P11-target13.wav","laavanya aaraam karti hase ","LH LH LH L-L% "
"38","CHO-P11-target14.wav","ananyaa kasrat karti hase ","LH LH LH L-L% "
"39","CHO-P11-target15.wav","laavanya kheDvaanu kaam karti hase ","LH LH 0 LH L-L% "
"40","CHO-P11-target16.wav","laavanya nedvaanu kaam karti hase ","LH LH LH LH L-L% "
"41","CHO-P11-target2.wav","laavanya kasrat karti hase ","LH LH LH L-L% "
"42","CHO-P11-target3.wav","ananyaa nedvaanu kaam karti hase ","LH LH 0 LH L-H% "
"43","CHO-P11-target4.wav","ananyaa aaraam karti hase ","LH LH LH L-L% "
"44","CHO-P11-target5.wav","laavanya kasrat karti hase ","LH LH LH L-L% "
"45","CHO-P11-target6.wav","ananyaa nedvaanu kaam karti hase ","LH LH 0 LH L-L% "
"46","CHO-P11-target7.wav","laavanya aaraam karti hase ","LH LH LH L-L% "
"47","CHO-P11-target8.wav","ananyaa kheDvaanu kaam karti hase ","LH LH 0 LH L-L% "
"48","CHO-P11-target9.wav","laavanya nedvaanu kaam karti hase ","LH LH 0 LH H-L% "
"49","CHO-P12-target1.wav","ananyaa kheDvaanu kaam karti hase ","LH LH 0 LH H-L% "
"50","CHO-P12-target10.wav","laavanya aaraam karti hase ","LH LH LH L-H% "
"51","CHO-P12-target11.wav","ananyaa kasrat karti hase ","LH LH LH H-L% "
"52","CHO-P12-target12.wav","laavanya kheDvaanu kaam karti hase ","LH LH 0 LH L-H% "
"53","CHO-P12-target13.wav","ananyaa aaraam karti ha ","LH LH LH H-L% "
"54","CHO-P12-target14.wav","ananyaa kasrat karti hase ","LH LH LH L-H% "
"55","CHO-P12-target15.wav","laavanya <p> kheDvaanu kaam karti hase ","L-H% LH 0 LH H-L%"
"56","CHO-P12-target16.wav","laavanya nedvaanu kaam karti hase ","LH LH 0 LH L-H% "
"57","CHO-P12-target2.wav","laavanya kasrat karti hase ","LH LH LH L-H% "
"58","CHO-P12-target3.wav","ananyaa nedvaanu kaam karti hase ","LH LH 0 LH L-H% "
"59","CHO-P12-target4.wav","ananyaa aaraam karti hase ","LH LH LH L-H% "
"60","CHO-P12-target5.wav","laavanya kasrat karti hase ","LH LH LH H-L% "
"61","CHO-P12-target6.wav","ananyaa nedvaanu kaam karti hase ","LH LH 0 LH L-H% "
"62","CHO-P12-target7.wav","laavanya aaraam karti hase ","LH LH LH H-L% "
"63","CHO-P12-target8.wav","ananyaa kheDvaanu kaam karti hase ","LH LH 0 LH L-H% "
"64","CHO-P12-target9.wav","laavanya nedvaanu kaam karti hase ","LH LH 0 LH H-L% "
"65","CHO-P3-target1.wav","ananyaa kheDvaanu kaam karti hase ","LH LH 0 LH L-L% "
"66","CHO-P3-target10.wav","laavanya aaraam karti hase ","LH LH LH H-L% "
"67","CHO-P3-target11.wav","ananyaa kasrat karti hase ","LH LH LH L-L% "
"68","CHO-P3-target12.wav","laavanya kheDvaanu kaam karti hase ","LH LH 0 LH L-L% "
"69","CHO-P3-target13.wav","ananyaa aaraam karti hase ","LH LH LH L-L% "
"70","CHO-P3-target14.wav","ananyaa kasrat karti hase ","LH LH LH L-L% "
"71","CHO-P3-target15.wav","disfluent ","L-H% LH LH L-L% "
"72","CHO-P3-target16.wav","laavanya nedvaanu kaam karti hase ","LH LH 0 LH L-H% "
"73","CHO-P3-target2.wav","laavanya kasrat karti hase ","LH LH LH L-L% "
"74","CHO-P3-target3.wav","ananyaa nedvaanu kaam karti hase ","LH LH 0 LH L-L% "
"75","CHO-P3-target4.wav","ananyaa aaraam karti hase ","LH LH LH L-L% "
"76","CHO-P3-target5.wav","laavanya kasrat karti hase ","LH LH LH L-H% "
"77","CHO-P3-target6.wav","ananyaa nedvaanu kaam karti hase ","LH LH 0 LH H-L% "
"78","CHO-P3-target7.wav","laavanya aaraam karti hase ","LH LH LH L-L% "
"79","CHO-P3-target8.wav","ananyaa kheDvaanu kaam karti hase ","LH LH 0 LH L-L% "
"80","CHO-P3-target9.wav","laavanya nedvaanu kaam karti hase ","LH LH 0 LH L-H% "
"81","CHO-P4-target1.wav","ananyaa kheDvaanu kaam karti hase ","LH LH LH LH H-L%"
"82","CHO-P4-target10.wav","laavanya aaraam karti hase ","LH LH LH H-L% "
"83","CHO-P4-target11.wav","ananyaa kasrat karti hase ","LH LH LH H-L% "
"84","CHO-P4-target12.wav","laavanya kheDvaanu kaam karti hase ","LH LH LH LH L-L% "
"85","CHO-P4-target13.wav","ananyaa aaraam karti hase ","LH LH LH L-L% "
"86","CHO-P4-target14.wav","ananyaa kasrat karti hase ","LH LH LH L-H% "
"87","CHO-P4-target15.wav","laavanya kheDvaanu kaam karti hase ","LH LH LH LH L-L% "
"88","CHO-P4-target16.wav","laavanya nedvaanu kaam karti hase ","LH LH 0 LH L-L% "
"89","CHO-P4-target2.wav","laavanya kasrat karti hase ","LH LH LH L-L% "
"90","CHO-P4-target3.wav","ananyaa nedvaanu kaam karti hase ","LH LH LH LH L-L% "
"91","CHO-P4-target4.wav","ananyaa aaraam karti hase ","LH LH LH H-L% "
"92","CHO-P4-target5.wav","laavanya kasrat karti hase ","LH LH LH L-L% "
"93","CHO-P4-target6.wav","ananyaa nedvaanu kaam karti hase ","LH LH LH LH L-L% "
"94","CHO-P4-target7.wav","laavanya aaraam karti hase ","LH LH LH L-H% "
"95","CHO-P4-target8.wav","ananyaa kheDvaanu kaam karti hase ","LH LH 0 LH H-L% "
"96","CHO-P4-target9.wav","laavanya nedvaanu kaam karti hase ","LH LH LH LH L-L% "
"97","CHO-P5-target1.wav","ananyaa kheDvaanu kaam karti hase ","LH LH LH LH L-H% "
"98","CHO-P5-target10.wav","laavanya <p> aaraam karti hase ","L-H% LH LH L-H% "
"99","CHO-P5-target11.wav","ananyaa kasrat karti hase ","LH LH LH L-H% "
"100","CHO-P5-target12.wav","laavanya kheDvaanu kaam karti hase ","LH LH LH LH L-L% "
"101","CHO-P5-target13.wav","ananyaa aaraam karti hase ","LH LH LH L-L% "
"102","CHO-P5-target14.wav","ananyaa kasrat karti hase ","LH LH LH L-L% "
"103","CHO-P5-target15.wav","laavanya kheDvaanu kaam karti hase ","LH LH LH LH L-L% "
"104","CHO-P5-target16.wav","laavanya nedvaanu kaam karti hase ","LH LH LH LH L-L% "
"105","CHO-P5-target2.wav","laavanya kasrat karti hase ","LH LH LH L-L% "
"106","CHO-P5-target3.wav","ananyaa nedvaanu kaam karti hase ","LH LH LH LH L-L% "
"107","CHO-P5-target4.wav","ananyaa aaraam karti hase ","LH LH LH L-L% "
"108","CHO-P5-target5.wav","laavanya kasrat karti hase ","LH LH LH L-H% "
"109","CHO-P5-target6.wav","ananyaa nedvaanu kaam karti hase ","LH LH LH LH L-H% "
"110","CHO-P5-target7.wav","laavanya <p> aaraam karti hase ","L-H% LH LH L-L% "
"111","CHO-P5-target8.wav","ananyaa kheDvaanu kaam karti hase ","LH LH LH LH L-L% "
"112","CHO-P5-target9.wav","laavanya nedvaanu kaam karti hase ","LH LH LH LH H-L% "
"113","CHO-P6-target1.wav","ananyaa <p> kheDvaanu kaam karti hase ","L-H% LH 0 LH L-L% "
"114","CHO-P6-target10.wav","laavanya aaraam karti hase ","LH LH LH L-L% "
"115","CHO-P6-target11.wav","ananyaa kasrat karti hase ","LH LH 0 L-L% "
"116","CHO-P6-target12.wav","disfluent ",""
"117","CHO-P6-target13.wav","ananyaa aaraam karti hase ","LH LH 0 L-L% "
"118","CHO-P6-target14.wav","ananyaa <p> kasrat karti hase ","L-H% LH 0 L-L% "
"119","CHO-P6-target15.wav","laavanya <p> kheDvaanu kaam karti hase ","L-H% LH 0 LH L-L% "
"120","CHO-P6-target16.wav","laavanya nedvaanu kaam karti hase ","LH LH 0 LH L-H%"
"121","CHO-P6-target2.wav","laavanya <p> kasrat karti hase ","L-H% LH LH L-H% "
"122","CHO-P6-target3.wav","ananyaa nedvaanu kaam karti ha ","LH LH 0 LH H-L% "
"123","CHO-P6-target4.wav","ananyaa aaraam karti hase ","LH LH LH L-H% "
