"","File","Words","Contour"
"1","GUJ-P1-target1.wav","ananyaa kheDvaanu kaam kare che ","LH 0 0 0 L-L% "
"2","GUJ-P1-target10.wav","laavanya aaraam kare che ","LH LH 0 L-L% "
"3","GUJ-P1-target11.wav","ananyaa vyaayaam kare che ","LH LH 0 L-L% "
"4","GUJ-P1-target12.wav","laavanya <p> kheDvaanu kaam kare che ","L-H% LH 0 0 L-L% "
"5","GUJ-P1-target13.wav","ananyaa aaraam kare che ","LH LH 0 L-L% "
"6","GUJ-P1-target14.wav","ananyaa vyaayaam kare che ","LH LH 0 L-L% "
"7","GUJ-P1-target15.wav","laavanya <p> kheDvaanu kaam kare che ","L-H% LH 0 0 L-L% "
"8","GUJ-P1-target16.wav","laavanya nindvaanu kaam kare che ","LH LH 0 0 L-L% "
"9","GUJ-P1-target2.wav","laavanya vyaayaam kare che ","LH LH LH L-L% "
"10","GUJ-P1-target3.wav","ananyaa nindvaanu kaam kare che ","LH LH 0 0 L-L% "
"11","GUJ-P1-target4.wav","ananyaa aaraam kare che ","LH LH 0 L-L% "
"12","GUJ-P1-target5.wav","laavanya vyaayaam kare che ","LH LH 0 L-L% "
"13","GUJ-P1-target6.wav","ananyaa nindvaanu kaam kare che ","LH LH 0 LH L-L% "
"14","GUJ-P1-target7.wav","laavanya aaraam kare che ","LH LH 0 L-L% "
"15","GUJ-P1-target8.wav","ananyaa kheDvaanu kaam kare che ","LH LH LH 0 L-L% "
"16","GUJ-P1-target9.wav","laavanya nindvaanu kaam kare che ","LH LH LH 0 L-L% "
"17","GUJ-P10-target1.wav","ananyaa kheDvaanu kaam kare che ","LH 0 0 0 L-L% "
"18","GUJ-P10-target10.wav","laavanya aaraam kare che ","LH LH LH L-L% "
"19","GUJ-P10-target11.wav","ananyaa vyaayaam kare che ","LH LH LH L-L% "
"20","GUJ-P10-target12.wav","laavanya kheDvaanu kaam kare che ","LH LH LH 0 L-L% "
"21","GUJ-P10-target13.wav","ananyaa <p> aaraam kare che ","L-H% 0 LH L-L% "
"22","GUJ-P10-target14.wav","ananyaa vyaayaam kare che ","LH LH LH L-L% "
