"","X.1","X","File","Words","Contour","language","talker","utt","condition","sentence","kaamSentence","ContourS","predTone","auxTone","finalTone","pause","pause2"
"346",346,NA,"GUJ-P1-target12.wav","laavanya <p> kheDvaanu kaam kare che ","L-H% LH 0 0 L-L%","Gujarati","P1","target12","predFoc","sentence1215","yes","LH LH 0 0 L-L%","LH"," 0 ","L-L%","yes","L-H%"
"349",349,NA,"GUJ-P1-target15.wav","laavanya <p> kheDvaanu kaam kare che ","L-H% LH 0 0 L-L%","Gujarati","P1","target15","subjFoc","sentence1215","yes","LH LH 0 0 L-L%","LH"," 0 ","L-L%","yes","L-H%"
"363",363,NA,"GUJ-P10-target13.wav","ananyaa <p> aaraam kare che ","L-H% 0 LH L-L%","Gujarati","P10","target13","subjFoc","sentence413","no","LH 0 LH L-L%","0","LH ","L-L%","yes","L-H%"
"405",405,NA,"GUJ-P12-target8.wav","ananyaa <p> kheDvaanu kaam kare che ","L-H% LH LH LH L-L%","Gujarati","P12","target8","predFoc","sentence18","yes","LH LH LH LH L-L%","LH","LH ","L-L%","yes","L-H%"
"409",409,NA,"GUJ-P2-target13.wav","ananyaa <p> aaraam kare che ","L-H% LH LH L-L%","Gujarati","P2","target13","subjFoc","sentence413","no","LH LH LH L-L%","LH","LH ","L-L%","yes","L-H%"
"411",411,NA,"GUJ-P2-target16.wav","laavanya <p> nindvaanu kaam kare che ","L-H% LH 0 LH L-L%","Gujarati","P2","target16","predFoc","sentence916","yes","LH LH 0 LH L-L%","LH","LH ","L-L%","yes","L-H%"
"412",412,NA,"GUJ-P2-target3.wav","ananyaa <p> nindvaanu kaam kare che ","L-H% LH 0 0 L-L%","Gujarati","P2","target3","subjFoc","sentence36","yes","LH LH 0 0 L-L%","LH"," 0 ","L-L%","yes","L-H%"
"416",416,NA,"GUJ-P2-target8.wav","ananyaa <p> kheDvaanu kaam kare che ","L-H% LH 0 0 L-L%","Gujarati","P2","target8","predFoc","sentence18","yes","LH LH 0 0 L-L%","LH"," 0 ","L-L%","yes","L-H%"
"419",419,NA,"GUJ-P3-target11.wav","ananyaa <p> vyaayaam kare che ","L-H% 0 LH L-L%","Gujarati","P3","target11","subjFoc","sentence1114","no","LH 0 LH L-L%","0","LH ","L-L%","yes","L-H%"
"420",420,NA,"GUJ-P3-target12.wav","laavanya <p> kheDvaanu kaam kare che ","L-H% LH LH 0 L-L%","Gujarati","P3","target12","predFoc","sentence1215","yes","LH LH LH 0 L-L%","LH"," 0 ","L-L%","yes","L-H%"
"457",457,NA,"GUJ-P5-target2.wav","laavanya <p> vyaayaam kare che ","L-H% LH LH L-L%","Gujarati","P5","target2","predFoc","sentence25","no","LH LH LH L-L%","LH","LH ","L-L%","yes","L-H%"
"459",459,NA,"GUJ-P5-target4.wav","ananyaa <p> aaraam kare che ","L-H% LH LH L-H%","Gujarati","P5","target4","predFoc","sentence413","no","LH LH LH L-H%","LH","LH ","L-H%","yes","L-H%"
"466",466,NA,"GUJ-P6-target10.wav","laavanya <p> aaraam kare che ","L-H% LH LH L-L%","Gujarati","P6","target10","predFoc","sentence710","no","LH LH LH L-L%","LH","LH ","L-L%","yes","L-H%"
"470",470,NA,"GUJ-P6-target14.wav","ananyaa <p> vyaayaam kare che ","L-H% LH LH L-L%","Gujarati","P6","target14","predFoc","sentence1114","no","LH LH LH L-L%","LH","LH ","L-L%","yes","L-H%"
"471",471,NA,"GUJ-P6-target15.wav","laavanya <p> kheDvaanu kaam kare che ","L-H% LH LH LH L-L%","Gujarati","P6","target15","subjFoc","sentence1215","yes","LH LH LH LH L-L%","LH","LH ","L-L%","yes","L-H%"
"472",472,NA,"GUJ-P6-target16.wav","laavanya <p> nindvaanu kaam kare che ","L-H% LH LH LH L-L%","Gujarati","P6","target16","predFoc","sentence916","yes","LH LH LH LH L-L%","LH","LH ","L-L%","yes","L-H%"
"479",479,NA,"GUJ-P6-target8.wav","ananyaa <p> kheDvaanu kaam kare che ","L-H% LH 0 LH L-H%","Gujarati","P6","target8","predFoc","sentence18","yes","LH LH 0 LH L-H%","LH","LH ","L-H%","yes","L-H%"
"481",481,NA,"GUJ-P7-target1.wav","ananyaa <p> kheDvaanu kaam kare che ","L-H% 0 0 LH L-L%","Gujarati","P7","target1","subjFoc","sentence18","yes","LH 0 0 LH L-L%","0","LH ","L-L%","yes","L-H%"
